page,result,general_result,marriage_result,trade_result,category,label
1,حتما انجام بده,بسیار خوب است با توکل به خدا اقدام نمایید.,این ازدواج از هر جهت مناسب است به امید خدا اقدام نمایید ان‌شاءالله که عاقبت‌به‌خیر می‌شوید.,بسیار خوب و پر نفع خواهد بود و ان‌شاءالله سود خوبی عایدتان خواهد شد.,2,VeryGood
3,انجام نده,بد است و در صورت انجام به‌شدت پشیمان خواهید شد.,این ازدواج آینده‌ی خوبی ندارد و با سختی و مشکلات زیادی روبرو خواهید شد و عاقبت خوبی ندارد.,در این معامله منفعتی وجود ندارد و در صورت انجام دچار ضرر و زیان خواهید شد.,-1,Bad
5,حتما انجام بده,بسیار خوب است و از انجام آن استفاده‌ی زیادی خواهید برد .,در این ازدواج خیر و برکت وجود دارد و با انجام آن ان‌شاءالله عاقبت بخیر و خوشبخت خواهید بود.,در این معامله منفعت زیادی خواهید برد با حفظ موازین شرعی معامله را انجام دهید تا در دنیا و آخرت سعادت‌مند شوید.,2,VeryGood
7,اختیار با توست,میانه است در صورت اصرار به انجام حتما صدقه دهید و با مشورت با افراد خبره اقدام نمایید.,عجله نکنید از این مورد بهتر هم نصیب شما خواهد شد .,صبر کنید انجام این معامله آن‌چنان هم که فکر می‌کنید تعریفی ندارد در صورت اصرار به انجام آن صدقه دهید و با افراد خبره مشورت نمایید.,0,Neutral
9,انجام نده,بد است و انجام آن جز پشیمانی و ندامت چیزی بدنبال ندارد.,اختلافات زیادی اتفاق می‌افتد و دچار مشکلات روحی و روانی زیادی خواهید شد.,ضرر و زیان ناشی از انجام آن زیاد است و مشکلات زیادی به همراه دارد.,-1,Bad
11,انجام نده,بد است و انجام آن جز پشیمانی و ندامت چیزی بدنبال ندارد.,مشکلات زیادی بر سر راه شما پیش خواهد آمد این ازدواج به‌هیچ‌وجه به صلاح شما نیست.,در این معامله فریب و نیرنگ زیاد است انجام ندهید.,-1,Bad
13,انجام نده,بد است انجام آن به ضرر شما خواهد بود و پشیمان خواهید شد.,به‌شما دروغ می‌گویند و به تعهدات خود عمل نمی‌کنند این ازدواج به صلاح شما نیست باور کنید.,به تعهدات خود عمل نمی‌کنند و دچار ضرر و زیان خواهید شد.,-1,Bad
15,انجام نده,بد است در صورت انجام پشیمان خواهید شد لذا ترک شود.,با ظاهر افراد نمی‌توان قضاوت کرد و در صورت انجام به‌شدت پشیمان خواهید شد.,این معامله آن گونه که فکر می‌کنید منفعتی ندارد و حتی دچار ضرر خواهید شد ترک کنید.,-1,Bad
17,انجام نده,بد است صبر کنید و صدقه دهید و بدانید که خداوند بر هر کاری قادر و توانا است.,عجله نکنید مورد بهتری نصیب شما خواهد شد به‌خدا توکل کنید.,صبر کنید از این معامله بهتر به شما پیشنهاد می‌شود.,-1,Bad
19,انجام نده,بد است زحمت بیهوده می‌کشی و فایده‌ای نخواهی برد.,مورد مناسبی نیست و دچار اختلاف خواهید شد ترک شود.,بد است طرفهای شما قصد فریب شما را دارند و به شما ضرر خواهد رساند.,-1,Bad
